,App name,Version,Review,Description,Not available anymore,Category,Paid app,Non English,Not MSM social media dating app ,Not for NZ users,None Target MSM,Unnamed: 11,Unnamed: 12
60,Bisexual Dating & Threesome Fun For LGBTQ - BiFun,2.0.0,11.0,BiFun is designed for bisexual bi-curious individuals and bi couples. Straight gay lesbian threesome BDSM singles LGBT community and couples are also welcomed.<br/><br/>We are committed to helping you find the perfect match no matter where they are. Connect with bi singles that are ready to find the one. Browse profiles nearby you and connect with other bisexuals in different states. Start living your very own love story on our bisexual dating site. Arrange bisexual meets right now and see where the date takes you. Satisfy your need to explore yourself and others on local bisexual dates. Whether you're looking for a friend or the love of your life find them a fun and secure environment on BiFun.<br/><br/>Why you need to choose BiFun:<br/><br/>- Signup at BiFun is easy safe and fast.<br/>- All profiles are manully checked to block bots and scammers<br/>- Send messages and meet new people nearby<br/><br/>The world's best and largest bisexual dating site for bisexual singles and friends. Here you can find sexy and open-minded singles to explore their fantasies. As a leading bisexual dating site we successfully bring together singles from around the world. Thousands of happy women have met their soul mates here and have shared their stories with us. Here you can find other open-minded & passionate singles and couples who are looking to chat meet and more.<br/><br/>For a fun safe and uniquely bisexual dating experience join NOW today!,,Dating,,,,,y,bisexual ,
61,Bisexual Dating App & Bicurious Chat for Bisingles,1,66.0,Both is the best bisexual dating App bicurious dating app for the like minded singles looking to date. This  bisexual dating app doesn’t leave its members high and dry. Here you can find other bisexuals women men and open-minded singles and couples who are looking to explore  chat hook up and more. Both is not only the world’s first but also the best 3some dating app of bisexual men gay singles lgbtq lesbian girls women and couples dating  in search of love and companionship. The bisexual dating app is catered towards bisexual singles and couples who want to build a bond with open-minded individuals who are exploring friendship. <br/>When it comes to the Bicurious dating app there is more than what meets the eye. In addition to engaging in conversations members can explore forums share photo albums participate in contests and much more.<br/><br/><br/>What’s your choice for Bisexual Dating App?<br/><br/>A sugar baby choose rich men dating app to find rich sugar daddy like a bisexual women prefer a bisexuals dating app. These threesome dating app will help you pick a partner that is similar to yours and that looks similar in mind. This is the benefit of using a bisexuals dating app swingers lifestyle app to select a partner. The bisexual dating app is doing a great job right now. They have the right back-end team and they will help maintain the confidentiality of the information.<br/><br/>Join the best threesome dating app and share your life. These couples dating app do a good job because they help people find partners where they can start a conversation. so people can stay in touch anytime anywhere without missing a single conversation. If a person doesn't like it they will skip it. These sites are built in a user-friendly way for everyone to access. People's lifestyles are constantly changing.<br/><br/>Join and explore the swingers lifestyle app for amazing bisexual dating and threesome relationships.,,Dating,,,,,y,bisexual ,
63,Bisexual Dating App and Lesbian Dating App,1,30.0,Welcome to the best Bisexual dating app and the perfect place for Lesbian dating too. Here is the best bisexual dating app for the like-minded people who are looking for bisexual dating couple dating and lesbian dating. <br/>This bisexual dating app is like a social network app where you can find many new friends based on the interests. Here you make many new friends interested in lesbian dating lesbian chat and lesbian relationships. <br/><br/>The main features of this app find your soulmate by searching using the geo location or interests and hobbies etc. <br/><br/>The goal of this app is to connect the singles interested in bisexual dating lgbtq lesbian dating gay dating. The unique features like lesbian chat and gay chat rooms will help singles to find more matches. <br/><br/>So if you are looking for bisexual dating here is the best bisexual dating app join and meet your date.,,Dating,,,,,y,bisexual ,
65,"Bisexual Dating App for Threesome,Foursome,Couples",1.2.60,39.0,Threesome is a fun dating app you are supposed to find your ideal partners for FMF 3someswingers.<br/><br/>Whether you are a gay lesbian bisexual pansexual queer or transgender Threesome will be your best choice.<br/><br/>With the Threesome APP you can:<br/><br/>System Messages: Recommend the closest bisexual singles and couples. <br/><br/>Feed: Members share your contact informationShare pictures and dating information record every wonderful moment<br/><br/>Photo Verification: we make sure the people you date with look like their profile photos.<br/><br/>Unlimited Messages: Send messages to anyone you want.<br/><br/>Get more matches: Get unlimited likes and increase your mathches.<br/><br/>Special notice for using Threesome:<br/><br/>You must be at least 18 years of age to sign up and use Threesome.<br/><br/>Support: courgette2080@gmail.com<br/><br/>http://www.3rdcome.com<br/><br/>courgette2080@gmail.com,,Social,,,,,y,bisexual ,
74,Black Dating: Black Singles Meet & Dating App,1.1.0,1193.0,A unique black people dating app for blk singles to find Afro cupid romance & hookup! It's free to join to meet date chat & flirt with local black women and men.<br/><br/>As you may know online dating is becoming more and more popular! However most people find that it's still hard for them to find a bae on dating apps and sites. Unfortunately there is no exception for a single black man or woman even if there are a lot of ebony and mixed dating communities out there.<br/><br/>BlackDating is created to offer a unique dating solution for single African Americans and black British people. We aim to help them increase the chances of finding friendships hookups dates and love! As an Afro dating introduction community BlackDating is a meld of many great apps. It also has some creative features. Our app welcomes people of all ages skin colors sexual preferences and religions who can be Christian Jewish white Asian and Latino. Whether you are senior people cougars young girls or guys our app is for you. Whether you are straight gay lesbian bisexual queer or transgender you will feel welcomed on our site.<br/><br/>Most of our users are from the United States UK (England Ireland Scotland) Canada Australia South African France and Germany! We are also an interracial dating community for African black women and men. So when dating white men and women on our app they will feel comfortable.,,Social,,,,,y,bisexual ,
77,Bluch - Free Gay Chat,1,19.0,Bluch - is a free gay chat our app allows you to simple & safe chatting gay guys from around the world!<br/><br/>Interested in finding LGBT friends? Chat and meet up with interesting people for free. Sign-up takes 15 seconds. Download Bluch and start free chatting with other gay guys people today!<br/><br/>Bluch is a Free Live Chatting Group Messaging App.<br/><br/>Bluch wants to give you the safest chat experience. However never give out personal information to anyone you do not trust.,,Social,,,,,y,gay,
78,Blue Lite - Gay Video Chat Call & Dating App,1.1,31.0,Blue Lite - Gay Video Chat Call & Dating App allows users to filter matches based on traits that Blue Gay Vide Chat & Dating believes are important to its members such as religion or height. You can start to interact with friends and strangers by placing a comment on any of the pictures they’ve posted.<br/><br/>Blue Lite - Gay Video Chat Call & Dating App is that includes a live broadcasting feature that lets you broadcast anything you want to share with your friends and followers and interact with them live. This gives your profile an added value and lets you connect with more people.<br/><br/>Blue Lite - Gay Video Chat Call & Dating Appvadjusts potential matches a user sees every time someone acts on his or her profile.,,Social,,,,,y,gay,
79,"Blued: Gay chat, gay dating & live stream",3.7.0,205833.0,Connect & chat with more than 58 million gay men from around the world - or right next door with Blued the live gay social network. Go online anytime to chat with hot guy in Gay clubhouse. Watch live content 1V1 video call with new friends meet hot guys expand your LGBTQ+ network.<br/><br/>Gay chat gay dating gay clubhouse real conversation and a strong community - You'll find it all on Blued.<br/><br/>Chat with free 1V1 Video Call<br/>Connect and chat with guys you meet using photos audio & video messages GIFs and location sharing! Make free 1 on 1 video calls to any guy anywhere. Find your perfect match and stay in touch. Dating has never been easier!<br/><br/>Stay Connected to Your Community<br/>Follow your favorite influencers friends and crushes to stay up to date on their latest posts. Connect other socials like Instagram Twitter or Facebook to have your whole gay social life in one app.<br/><br/>More Guys More Fun!<br/>No matter your identity: gay bi trans or your type: twink bear cub - Blued is the gay dating app for everyone. If you're single and searching for a chat or date you can start 1 on 1 video call with thousands of cute guys ready to talk. Looking for a gay boyfriend? Get ready for love because the match you've been searching for is only one message away. Browse unlimited profiles in your neighborhood to date locally or use our Travel Pass feature to meet and talk to men anywhere in the world. <br/><br/>Safe & Secure!<br/>Create private photo albums send videos & disappearing messages video chat one on one. Blued cares about your privacy and is committed to creating a safe healthy welcoming space where gay bisexual trans and people of all genders races and orientations can be celebrated for being themselves.<br/><br/>Blued Premium<br/>Love live social and want to have even more gay dating options? Enhance your opportunities to talk to cute gay guys looking for dates by upgrading to Blued Premium to access to awesome features.<br/><br/>- Advanced filters to control who you see and who can see you<br/>- Hide distance online status read receipts & visit without a trace<br/>- Browse guys anywhere in the world<br/>- Remove ads<br/>- Exclusive badges & icons<br/><br/>Choose a subscription length that suits you: 1 month 3 months or 12 months. <br/><br/>Service: Blued Premium Automatic Renewal<br/><br/>Price: $9.99 (billed monthly); $19.99 (billed every 3-months); $59.99 (billed annually)<br/><br/>The subscription will be charged through your Google account. Your subscription will be automatically renewed unless you cancel it within 24 hours prior to the end of the current subscription period in your Google Play Store settings. To join membership means agreeing to the following terms and agreements.<br/><br/>To cancel your subscription please go to Google Play Store-&gt; My Subscriptions  and choose Blued Premium to unsubscribe. If you do not cancel your subscription at least 24 hours before the end of the subscription period it will be automatically renewed.<br/><br/>Blued Premium Terms of Service: https://international.blued.com/oversea/vip/item<br/>Blued Premium Automatic Renewal Agreement: https://international.blued.com/oversea/vip/seriesItem<br/>Privacy Policy: https://international.blued.com/oversea/vip/privacy<br/><br/>For troubleshooting and issues please contact support@blued.zendesk.com.<br/><br/>Instagram: @bluedapp<br/><br/>Facebook: @bluedapp<br/><br/>Twitter: @blued,,Social,,,,,y,gay,
80,BONE - Gay Social Dating Application,1.0.12,24.0,Welcome to the world of BONE the name says it all whether you are gay bi queer trans or simply curious we are here for your entertainment with multiple chat functions and interesting features to chose from. The app has many things to discover DOWNLOAD FOR A CLOSER LOOK.<br/><br/>Here are our FREE functions and features:<br/>. Unlimited profiles near you to chose from<br/>. TOP 5 hottest near you <br/>. Search via username or online now<br/>. Find out who’s new on BONE<br/>. Change your location to anywhere in the word<br/>. Use the eye to keep track of users<br/>. FILTER via place availability stats type and many more including fetishes<br/>. Create a photo album consisting of private and public images <br/>. Rate and comment other users <br/>. Lock the app from intruders<br/>. Go incognito<br/>. Change the app language <br/>. Unlimited block list<br/>. Group chat<br/>. Appear offline to individual users <br/>. Phone and video call<br/>. Sending times images <br/>. Voice note chats<br/>. Referrals<br/>. Notification upon received and read messages <br/>. Bone match<br/><br/>NOW Use your BONE profile as a tool for others to get to know you by means of filling your profile details and placing up to date images.<br/><br/>Interact play explore and match with others to get the chance to be featured amongst the top 5 hottest.<br/><br/>Check out our latest profile guidelines terms of services and privacy policy in our about section inside the app.,,Dating,,,,,y,gay,
83,BoyAhoy - Gay Chat & Friend,6.23.1,49714.0,BoyAhoy is the global network for meeting gay men.<br/><br/>Instantly meet like-minded men near you or around the world. Discover new friends at a local bar or in Barcelona. Millions of gay men are connecting and meeting through BoyAhoy every day. Use exciting in-app features to increase your chances of friending or chatting!<br/> <br/>Expand your social network with the tap of a button. It’s so much fun you won’t be able to stop. Find your party chat make new friends or meet new people anytime anywhere. <br/><br/>Features: Meet gay men by proximity chat see who checked you out get updates from nearby users buy and send gifts save your favorite users browse profiles and pictures promote your profile with in-app features earn points to unlock premium features. You don't have to pay to get notifications!<br/><br/>Download and join the BoyAhoy party now!<br/><br/>Please note: We take your privacy very seriously. You’re always in complete control – your exact location and personal information will never be given without your permission. YOU decide if when and how you want to connect.,,Social,,,,,y,gay,
87,"BUDDY - Gay chat, calendar & videos",6.6,129.0,Everybody wants some BUDDY! Join the next generation gay app that offers more. <br/><br/>We are the first network for PrEP-friendly gay men. A fun and safe space: no discussions no judgements.<br/><br/>But BUDDY is more than that!<br/><br/>Looking for a gym or travel buddy? Or maybe a buddy for more? You came to the right place cuz everybody wants some BUDDY!<br/><br/>Use our iconic calendar to let other buddies know what you are looking for. Pick a date and a place and soon you'll be off riding into the sunset.<br/><br/>A picture says more than 1000 words. But a video tells a whole story. With BUDDY you can upload and share your favourite videos without leaving the app.<br/><br/>Why BUDDY? Because it's love ... and fun!<br/>Download now. Do it!,,Dating,,,,,y,gay,
88,"Buddy - Gay Chat, Meet & Date - FREE App",1.1.2,38.0,You can find nice and sexy gay guys who are looking for men on this app. Buddy shows you other gay member's profiles with many photos near. If you find some guys hit in your mind you can chat and meet with them through Buddy. Also Buddy will inform you when guys you like are coming close to you. <br/><br/>Download and find your buddy. It's totally FREE!<br/>Many attractive gay guys are waiting for you.<br/><br/><br/>FEATURES:<br/>You can use all features for FREE!<br/>- Show member's profiles in the near distance from you<br/>- Post your profile<br/>- Upload 21 photos as maximum<br/>- List up guys whom you like and guys who like you<br/>- Give you the notification when guys you like come closer to you<br/>- Message exchanges<br/><br/><br/>TERMS OF SERVICE:<br/>- Buddy is opened for only men looking for men gay people of LGBT<br/>- You must be 18 years old or older to register<br/>- Do not upload any nude or illegal photos<br/>- Be nice to each other<br/>* Read our Terms at http://www.buddy.today/terms-of-use/en<br/><br/><br/>NOTE:<br/>- User profiles inactive for more than three months may be deleted.<br/>- You can see 100 messages maximum on a thread.<br/><br/><br/>Thank you so much for using Buddy!<br/>We update the app regularly to make it faster and better than ever. Get the latest version for all available features and improvements.<br/>We would read all of your reviews carefully and appreciate hearing your feedback. If you have any questions or suggestions please feel free to send e-mail to inquiry@buddy.today.<br/><br/>We support all gay people’s meet up and back LGBT people.,,Dating,,,,,y,gay,
89,Buff - Gay Dating & Chat App,1.0.0.1,10.0,Welcome to Buff! <br/><br/>The new gay dating and chat app is finally here and we can’t wait to show all the gay bisexual and queer men right around the world how good this app really is! <br/>No matter who you are where you are from or what you do you are bound to meet other like- minded beautiful men right here. Buff will help you to connect worldwide chatting with new friends casual dates meeting your next crush or finding your very own Mr Right! <br/>Buff has been created by men for men and uses the latest cutting-edge technology to ensure your experience is both safe and fruitful. We really believe in this app and we want you to keep coming back for more.<br/>Although we are the new kid on the block don’t let that deter you as meeting your next guy pal has never been easier. We are determined to build the biggest and the best gay and bisexual men’s community right here on Buff.<br/>So go on. What are you waiting for? Strap yourselves in and hold on because it’s going to be a helluva ride! Enjoy it!,,Dating,,,,,y,gay,
90,"Bumble Bees - LGBTQ Club for Lesbians, Trans, Gays",3.5,38.0,Club 57 presenting Bumble Bees for dating Gays Cross Dressers - Top Bottom Versatile and Side <br/><br/>* Matches<br/>* Spotlight<br/>* Hot or Not Choices<br/>* Private Gallery<br/>* Voyeurs<br/>* Privacy Control<br/>* Show Interest<br/>* Send Gifts<br/>* Who is near you<br/>* Real time message and chat<br/>* Push notifications<br/>* Fans<br/>* Top Active members<br/>* Highlighted members<br/>* Recommended members<br/>and Many More<br/><br/>Sexual Motives strongly discouraged<br/>Zero Tolerance to fake and incorrect genders and orientations<br/>Only for English Literate,,Dating,,,,,y,,
92,ButchFemmeLove Dating,3.0.0,16.0,ButchFemmeLove.com is a dating site for lesbian and bisexual women.<br/>Our aim is to provide simple and completely free dating service for lesbians looking for love and friendship. Try it now it is easy and completely free.<br/>If there are any issue using the app please try the web version at https://www.ButchFemmeLove.com,,Dating,,,,,n,bisexual women,
95,"Catch, FWB Hookup Dating App",1.1.8,4045.0,Welcome to Catch an inclusive and friendly FWB hookup app for adult singles who are seeking flirting & meeting local single people secret benefits or NSA fling fun.<br/><br/>Single people need a place for safe dating. With thousands of hookup apps finding the best one might be challenging. Most of dating apps have same features and costs of use. However Catch is the preferred singles hookup dating app because you can post / browse ads AND communicate with matches for FREE.<br/><br/>Get Matched and Build a Conversation for free.<br/><br/>Whether you are looking for some hookups AFF threesome with couples friend finder for single women and single men flirt & hook up with black white interracial BBW cougar Asian Latino gay men lesbian trans or bisexual. Catch is a LGBT Friendly dating app. You can be sure that you will find adult match who will be delighted to spend time with you.<br/><br/>How Catch works?<br/><br/>✅ Build a profile less than 1 min and post your ads!<br/>✅ Pin your ads to the TOP and get attention!<br/>✅ Browse local single ads and profiles!<br/>✅ Match and Build a conversation for FREE!<br/>✅ Meetup & Hang out!<br/><br/>Happy Catching!<br/><br/>Catch Paws: To pin your personal ads to the top and filter ads catch meow verification. you will need them.<br/><br/>100 Paws $9.99<br/>200 Paws $16.99<br/>300 Paws $20.99<br/>500 Paws $29.99<br/>1000 Paws $52.99<br/>2000 Paws $89.99<br/><br/>The cost of the optional subscription for Catch VIP that is 14.99 USD for 1 month 2999 USD for 3 months 49.99 USD for 6 months.<br/><br/>If you choose to purchase Catch VIP payment will be charged to your Google Play account and your account will be charged for renewal within 24-hours prior to the end of the current period. Auto-renewal may be turned off at any time by going to your settings in the Play Store after purchase. Current Catch VIP subscription price starts at $14.99 USD/month and one-month 6-month and 12-month packages are available.Prices are in U.S. dollars may vary in countries other than the U.S. and are subject to change without notice. No cancellation of the current subscription is allowed during the active subscription period. If you don’t choose to purchase Catch Personals premium features you can simply continue using and enjoy Catch Personals for free.<br/><br/>* All photos are of models and used for illustrative purposes only.<br/>* Sugar daddy / baby arrangement are not allowed. <br/><br/>Your personal data is securely stored on Catch Personals - be sure to read our privacy policy and terms and conditions:<br/><br/>https://www.catchpersonals.com/privacy.html<br/>https://www.catchpersonals.com/terms.html<br/><br/>Questions? Suggestions? We love receiving feedback from you.<br/>feedback@catchpersonals.com<br/><br/>Download Catch hookup app for free 👆 and hook up Anonymously today!,,Dating,,,,,n,FWB hookup,
108,"Clover Dating - Chat, Flirt & Meet 3some, Swingers",1,132.0,Clover Dating - Find & Flirt & Meet 3some Swinger Adults <br/><br/>Clover Dating is an adult dating & hookup app for threesome finders swingers seeking safe dates online. It is a private platform for adults over 18 years old seeking real and polite matches for making friends dating hookup. It is not a dating room for marriages. It is mainly designed for these open-minded people LGBT(lesbian gay bisexual tranny) adults seeking 3some swinger & couples personals. <br/><br/>Steps to date a partner on Clover Dating: <br/><br/>1. Create an attractive account <br/>2. Seeking potential threesome finders or swingers<br/>3. Flirt matches by sending sparks winks <br/>4. Send messages to each other <br/>5. Have a safe date offline <br/><br/>Unique functions on this threesome dating community: <br/><br/>- Seeking real and polite threesome swinger & LGBT people<br/><br/>- Flirt attractive members by sending winks sparks freely  <br/><br/>- Highlight listing & get featured <br/><br/>- Connect verified real members for clover dating<br/><br/>- Read dating tips blogs for safe threesome & swinger dating<br/><br/>Clover Dating is a safe and secret app for people seeking threesome swinger and other casual relationships. Any fake profile ads or spammer will be deleted or blocked immediately. Meanwhile we strongly protect all members’ personals information. If you are looking for threesome swinger & couples relationships in safe playground Clover Dating is the exactly right community.,,Dating,,,,,y,,
109,ComeOut - Gay community & events app for LGBT men,1.2.1,14.0,Welcome to the ComeOut community app and a brand new more social way to meet LGBT friends from all around the world! ComeOut strives to become the best and most popular social network app for gay bisexual and queer men.<br/><br/>FEATURES<br/><br/>- MEMBERS. Search find and follow new gay friends from all over the world.<br/>- GAY CITY MAP. Quickly get an overview of LGBT guys groups posts and events in your city. Pick an activity and show yourself on the map to meet gay men near you. Easily change country and city to get your perfect travel guide for everything gay.<br/>- THE RAINBOW GAME. Take a daily challenge to rise in the top list.<br/>- EVENTS. Find and join LGBT events of your interest to meet new gay men.<br/>- GROUPS. Join a group to connect with gay guys sharing the same interests location occupation etc.<br/>- PAGES. Follow posts and event updates from your favorite queer clubs bars bloggers organisations musicians actors gay pride festivals etc.<br/>- COMING OUT STORIES. Get inspired in our come out group and post your unique coming out story to your profile to make it more personal.<br/>- LGBT RIGHTS. Read news and learn about the gay rights history and current situation in different countries.<br/>- CHATS. Find gay guys for unlimited free instant chat.<br/>- PUSH NOTIFICATIONS. Enable push and email notifications to make sure you never miss a message or event invitation.<br/><br/>We are an independent gay owned and operated company and our primary mission is to build and strengthen our amazing gay bisexual and queer men community by creating a safe digital and physical space for LGBT men to come together and interact advocating for gay rights and support others who share our vision and mission.<br/><br/>All of our core features are completely free but if you want to help us grow and support our mission please purchase a premium subscription. It will give you more features and more fun including:<br/>* Change location to meet men in other cities.<br/>* Go invisible to visit other members profiles without them knowing it.<br/>* Get read receipts to see see if someone read your message.<br/>* Forever ad free experience.<br/>* Add more photos to your profile to show all your good sides.<br/>* Find your favorite people with more search filters.<br/><br/>We offer 4 types of subscriptions:<br/>1 Week: starting at $4.99<br/>1 Month: starting at $12.99<br/>3 Months: starting at $29.99<br/>12 Months: starting at $99.99<br/><br/>Payment will be charged to your iTunes account at confirmation of purchase. Subscription automatically renews unless auto-renew is turned off in the iTunes Store at least 24hrs before the end of the current period. Prices above are in USD and may vary in countries other than the United States and are subject to change without notice. More details can be found at https://comeoutapp.com/terms<br/><br/>We really want to know what you need in order to make it easier for you to connect with other gay men and we work hard every day to add new functionality to give you the very best social network experience. If you have any ideas feedback or problems with the app please send us a message or connect with us on social media:<br/><br/>* Email: hello@comeoutapp.com<br/>* Instagram: https://www.instagram.com/comeoutapp/<br/>* Facebook: https://www.facebook.com/comeoutapp/<br/>* Twitter: https://twitter.com/ComeOutApp<br/><br/>In order to join we will ask you to upload a clear profile picture of yourself and for your safety we review all profiles to make sure the men you connect with are genuine. If you find a suspicious profile please report it to us! ComeOut is targeting LGBT men if you are a LGBT woman please feel more than welcome to download our LesBeSocial app instead.<br/><br/>Thanks and lots of love!<br/><br/>Jenny & Iván<br/>Team ComeOut.,,Social,,,,,y,,
112,Coolio – Gay Dating & Chat,3.7.0,136.0,You can find gay guys in your area by GPS.<br/>There are lots of items that you can set about your profile. Probably you will be able to find best partner!<br/>Chat Friend list Footprint and Block... Basic functions are almost provided.<br/>And Silent Match also helps your actions.,,Social,,,,,y,gay,
113,Cougar Dating App: Seeking Sugar Momma Older Women,Varies with device,4483.0,Cougar Dating For Older Women is the No.1 cougar dating app for older women dating younger men. It is currently available in US UK Canada & Australia.<br/><br/>OlderWomenDating specializes in helping cougars and their cubs find a relationship. With over 15 years in the industry our members come to us instead of general dating apps because they know that OlderWomenDating is the app to join where a cougar can find her cub.<br/><br/>OlderWomenDating is a unique dating app. We strongly believe in protecting our member's privacy. We've never shared databases or disclosed personal info to any other dating app or company.<br/><br/>To provide the best user experience we skip unproven or mediocre technology. We choose to work with only the best tech partners in the dating industry.<br/><br/>This cougar dating app is for those sugar mamas and younger men who are looking for fun friendship and love around the world. We are trying bring people together to spend some time with each other. As a mature woman or a young man you can look for the profiles of young men or sugar mamas near you. You can learn more about them from their comprehensive profile on our app. If you like a cougar or a cub just swipe right now. To pass on a profile you can swipe left. You can even start a conversation with a person to know more about them and just have some fun. The app also includes a feature to find out who viewed your profile. At times you can even secretly visit profiles and like them. This cougar dating app has a intuitive user interface with easy controls for you to have a smooth experience with the app. Just get started by downloading this app and then start swiping profiles of interesting people around you. Meet cougars and younger men in the US Cities Australia UK Canada Germany France Italy and other countries over the world. This cougar dating app has thousands of members. You can search any one of these members through this app. The number of members on this app is increasing every day. Olderwomendating has been serving cougars and cubs for the past 13 years thus it is a genuine and trustworthy app.<br/><br/>APP FEATURES<br/><br/>The Cougar Dating app includes some amazing features to enhance your experience in finding a right match for you:<br/>- Search for Cougar Profiles<br/>- Get to know of messages and winks from other cougar app members<br/>- Know who viewed your profile<br/>- Browse profiles anonymously – Like or Pass as you decide<br/>- Know who is interested in you and start a conversation<br/>- Like a profile by swiping right. Pass by swiping left<br/><br/>OlderWomenDating Service<br/><br/>Cougar Dating - For the older cougar woman looking to date a younger man<br/>Mature Dating - For mature women looking to date someone of the same age or slightly older<br/>Sugar Momma Dating - For rich Sugar Mamas who want to date cubs<br/><br/>You must be at least 18 years old to download and use this app<br/><br/>We are constantly working hard on making the Cougar Dating app better and more useful so you can easily discover people to date. Please feel free to email us with any queries/suggestions/problems or if you just want to say hello. We would love to hear from you. If you have enjoyed any feature of the Cougar Dating app do rate us on the google play.<br/><br/>And More！<br/><br/>OlderWomenDating has connected hundreds of thousands of older women with younger men. Download the app today and start finding your match!,,Dating,,,,,n,Older Women,
114,Couples Dating App for Bi Threesome and Swingers,1,98.0,FindaCouple is the couples swinger dating app for open minded couples & singles to enjoy threesome and polyamorous or seeking a unicorn as well as who are interested in swinger dating and threesome dating. Here4gv you can find other open-minded bisexual couples who are looking for other poly couples to chat date swing and more. Our goal is to provide the best largest secure and most effective non-threatening sleaze-free support and advice forum for bi couples and bi curious couples.<br/><br/>Are you single or couple? Having trouble finding a real and safe place to enjoy polyamory or threesome dating? Well you've certainly come to the right place. We have set up the app just for all people since we've been here.<br/><br/>Members on FindaCouple are all looking for things in common like passion for polyamory life and couples dating romance. Here you can find bi couples and polyamorous from all races and regions in New York Los Angeles Chicago Dallas Houston San Francisco Toronto Atlanta Denver Sydney London Phoenix San Diego Boca Raton Melbourne Vancouver Seattle Minneapolis Brisbane Washington Charlotte Perth Newton Edmonton San Antonio Austin Calgary Philadelphia Nashville and Las Vegas etc.,,Social,,,,,y,,
115,Cruzr Gay Chat,2.0.2,157.0,Download CRUZR TV’s companion app to browse and chat to hot guys streaming LIVE on CRUZR TV!<br/><br/>CRUZR offers all the great features of a traditional gay dating app as well as letting you connect LIVE and interact with featured guys on our TV Channel. <br/><br/>Want to meet guys near you? Just use your GPS location to instantly see who’s around or search for cities around the globe using Map Search<br/><br/>The app is free to download and use and is enhanced with optional extra features that you can upgrade to access. <br/><br/>Free features include:<br/>* Free to create your profile <br/>* Add photos video & voice clips to your profile<br/>* Send private video with members<br/>* Exchange private photos with members<br/>* Free push notifications <br/>* Sign up for live 121 voice calls and messaging <br/>* Create a Hotlist <br/>* Block/Report<br/><br/>You must be 18yrs and over to use CRUZR. No nudity or adult content allowed.<br/><br/>http://www.twitter.com/cruzr_tv,,Social,,,,,y,gay,
117,CYBERMEN : Gay chat & dating,17.01,1445.0,<b> Cybermen :  gay chat and dating specialist. Easy and fast !</b><br/><br/>More than 50000 men meet daily on the Cybermen gay chat for dialogues and serious or sexy dating !<br/><br/><b>NEW :</b><br/><br/>•	Call the other connected users anonymously. Your mobile number will never be disclosed.<br/>•	Send all your messages as high priority.<br/>•	Receive message delivery and read reports.<br/>•	Chat without advertising<br/><br/><br/><b>CYBERMEN IS :</b><br/><br/>✔  Anonymous <br/><br/>Anonymity is a high value of the Cybermen gay chat.<br/>No personal information is required.<br/>So you can chat discreetly and have dates with men nearby  <br/><br/><br/>✔  Free<br/><br/>Gay chat and dates are open to everybody on Cybermen.<br/>Download the Cybermen app for free!<br/><br/><br/>✔  No subscription<br/><br/>FREE ENTRY allows you to see all the connected men to launch detailed research and use the gay live chat .<br/><br/>VIP ENTRANCE offers advanced dating options.<br/><br/>Join the Cybermen gay chat to have new dates ! By activating your GPS you will be able to find all the men nearby and start a gay live chat that will maybe lead to a nice date !<br/><br/><br/><b>CUSTOMER CARE </b><br/><br/>The Cybermen gay chat offers free support to all its users at the following address : cybermen@hotline.center.<br/>All requests are processed.,,Dating,,,,,y,gay,
